epoch,label,phase,pid,comm,cpu,mem,rss_kb
1783237705.202746000,real_clean_rep1,before,512,syspolicyd,0.0,0.2,35472
1783237705.202746000,real_clean_rep1,before,909,codex,0.0,0.0,1616
1783237705.202746000,real_clean_rep1,before,4630,codex,0.0,0.0,640
1783237705.202746000,real_clean_rep1,before,20460,trustd,0.0,0.1,8656
1783237705.202746000,real_clean_rep1,before,20461,trustd,0.0,0.1,12560
1783237705.202746000,real_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783237705.202746000,real_clean_rep1,before,22673,codex,0.0,0.0,2192
1783237705.202746000,real_clean_rep1,before,23030,codex,0.0,0.0,6896
1783237705.202746000,real_clean_rep1,before,36402,codex,0.0,0.0,672
1783237705.202746000,real_clean_rep1,before,46907,codex,0.0,0.0,4480
1783237705.202746000,real_clean_rep1,before,65440,syspolicyd,0.0,0.0,2576
1783237705.202746000,real_clean_rep1,before,88895,trustd,1.2,0.1,18304
1783237705.202746000,real_clean_rep1,before,89129,trustd,0.0,0.1,16672
1783237705.202746000,real_clean_rep1,before,97096,codex,4.8,2.0,332944
1783237705.202746000,real_clean_rep1,before,97226,codex,0.0,0.3,49744
1783237705.717352000,real_clean_rep1,after,512,syspolicyd,0.2,0.2,35440
1783237705.717352000,real_clean_rep1,after,909,codex,0.0,0.0,1616
1783237705.717352000,real_clean_rep1,after,4630,codex,0.0,0.0,640
1783237705.717352000,real_clean_rep1,after,20460,trustd,0.0,0.1,8656
1783237705.717352000,real_clean_rep1,after,20461,trustd,0.0,0.1,12560
1783237705.717352000,real_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783237705.717352000,real_clean_rep1,after,22673,codex,0.0,0.0,2192
1783237705.717352000,real_clean_rep1,after,23030,codex,0.0,0.0,6880
1783237705.717352000,real_clean_rep1,after,36402,codex,0.0,0.0,672
1783237705.717352000,real_clean_rep1,after,46907,codex,0.0,0.0,4480
1783237705.717352000,real_clean_rep1,after,65440,syspolicyd,0.6,0.0,2576
1783237705.717352000,real_clean_rep1,after,88895,trustd,0.1,0.1,18272
1783237705.717352000,real_clean_rep1,after,89129,trustd,0.0,0.1,16640
1783237705.717352000,real_clean_rep1,after,97096,codex,4.4,2.0,332928
1783237705.717352000,real_clean_rep1,after,97226,codex,0.0,0.3,49760
1783237705.737255000,copy_clean_rep1,before,512,syspolicyd,0.6,0.2,35424
1783237705.737255000,copy_clean_rep1,before,909,codex,0.0,0.0,1616
1783237705.737255000,copy_clean_rep1,before,4630,codex,0.0,0.0,640
1783237705.737255000,copy_clean_rep1,before,20460,trustd,0.0,0.1,8656
1783237705.737255000,copy_clean_rep1,before,20461,trustd,0.0,0.1,12560
1783237705.737255000,copy_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783237705.737255000,copy_clean_rep1,before,22673,codex,0.0,0.0,2192
1783237705.737255000,copy_clean_rep1,before,23030,codex,0.0,0.0,6880
1783237705.737255000,copy_clean_rep1,before,36402,codex,0.0,0.0,672
1783237705.737255000,copy_clean_rep1,before,46907,codex,0.0,0.0,4480
1783237705.737255000,copy_clean_rep1,before,65440,syspolicyd,1.6,0.0,2576
1783237705.737255000,copy_clean_rep1,before,88895,trustd,1.9,0.1,18272
1783237705.737255000,copy_clean_rep1,before,89129,trustd,0.2,0.1,16640
1783237705.737255000,copy_clean_rep1,before,97096,codex,4.5,2.0,332928
1783237705.737255000,copy_clean_rep1,before,97226,codex,0.0,0.3,49760
1783237708.794990000,copy_clean_rep1,after,512,syspolicyd,23.3,0.2,41504
1783237708.794990000,copy_clean_rep1,after,909,codex,0.0,0.0,1616
1783237708.794990000,copy_clean_rep1,after,4630,codex,0.0,0.0,640
1783237708.794990000,copy_clean_rep1,after,20460,trustd,0.0,0.1,8656
1783237708.794990000,copy_clean_rep1,after,20461,trustd,0.0,0.1,12560
1783237708.794990000,copy_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783237708.794990000,copy_clean_rep1,after,22673,codex,0.0,0.0,2192
1783237708.794990000,copy_clean_rep1,after,23030,codex,0.0,0.0,6880
1783237708.794990000,copy_clean_rep1,after,36402,codex,0.0,0.0,672
1783237708.794990000,copy_clean_rep1,after,46907,codex,0.0,0.0,4480
